nome_produto,codigo,preco,estoque
Amortecedor Traseiro,K12345LA,100.0,50
Pivô de Suspensão,K54321BR,100.0,50
Bomba d'água - edicao especial,K67890US,100.5,0
Embreagem,K11223EU,250.0,30
Lâmpada de Farol,K99887BR,75.0,5
Filtro de óleo,K55667LA,10.0,5
Para-choque,K77889US,1.25,99
Lanterna Traseira,K33445EU,1.25,0
Velocímetro,K11111BR,89.0,9
Freio Dianteiro,K22222LA,1050.7,15
Kit Correia Dentada,K33333US,1.05,70
Coxim do Motor,K44444EU,55.0,3
Junta Homocinética,K55555BR,99.0,9
Radiador,K66666LA,99.0,90
Disco de Freio,K77777US,199.5,0
Pastilha de Freio,K88888EU,200.0,0
Sensor de Oxigênio,K99999BR,300.0,20
Bobina de Ignição,K12121LA,25.0,0
Válvula Termostática,K23232US,10.0,5
Reservatório de Expansão,K34343EU,75.0,5
